source node,target node,similarity score
LTAM 398,ENGL 370,0.66145235
MATH 111,MATH 342,0.8509932
MATH 111,MATH 120,0.8046614
MATH 111,MATH 236,0.789369
MATH 111,PHYS 145,0.78332925
MATH 111,STAT 220,0.7763593
MATH 111,ASTR 233,0.7626557
MATH 111,STAT 120,0.75327116
MATH 120,MATH 120,0.99999994
MATH 120,MATH 111,0.8046614
MATH 120,MATH 210,0.7561703
MATH 134,MATH 134,0.9999999
MATH 134,MATH 232,0.844497
MATH 134,PHYS 234,0.8374789
MATH 134,STAT 220,0.8313342
MATH 134,ECON 265,0.8044211
MATH 134,MATH 342,0.7633314
MATH 210,MATH 210,0.9999999
MATH 210,STAT 285,0.77205795
MATH 210,MATH 120,0.7561703
MATH 232,MATH 232,0.99999994
MATH 232,MATH 134,0.844497
MATH 232,PHYS 234,0.83712393
MATH 232,MATH 271,0.8179441
MATH 232,ECON 265,0.8151954
