Course_1,Course_2,Similarity
AFST 300,MELA 230,0.68684554
AFST 300,MEST 395,0.21947259
AFST 300,MUSC 127,0.11138949
AFST 300,MUSC 204,-0.061412666
AFST 300,MUSC 217,0.38162106
AFST 300,MUSC 221,-0.04875974
AFST 300,MUSC 227,0.012440081
AFST 300,MUSC 299,0.22064617
AFST 300,MUSC 313,0.074859984
AFST 300,NEUR 238,-0.06630898
AFST 300,NEUR 239,0.042824052
AFST 300,NEUR 395,0.08882447
AFST 300,PHIL 119,0.4298082
AFST 300,PHIL 124,0.49670586
AFST 300,PHIL 202,0.09098868
AFST 300,PHIL 209,0.54954875
AFST 300,PHIL 210,0.23831114
AFST 300,PHIL 219,0.5532589
AFST 300,PHIL 270,0.62200844
AFST 300,PHIL 289,0.4234661
AFST 300,PHYS 123,0.35504887
AFST 300,PHYS 142,-0.017031714
AFST 300,PHYS 145,-0.07461491
AFST 300,PHYS 234,-0.106600404
AFST 300,PHYS 235,-0.00730446
AFST 300,PHYS 341,0.08647281
AFST 300,PHYS 342,-0.06729335
AFST 300,PHYS 352,-0.22341642
AFST 300,POSC 120,0.58938766
AFST 300,POSC 160,0.46839744
AFST 300,POSC 170,0.5600441
AFST 300,POSC 201,0.287735
AFST 300,POSC 206.00,0.33531308
AFST 300,POSC 230,-0.0031682097
AFST 300,POSC 231,0.18439294
AFST 300,POSC 232.01,0.0653579
AFST 300,POSC 232.02,0.11013629
AFST 300,POSC 242,0.604314
AFST 300,POSC 252,0.3845019
AFST 300,POSC 266,0.5658351
AFST 300,POSC 272,0.22595526
AFST 300,POSC 302,0.7336659
AFST 300,POSC 315,0.6153133
AFST 300,POSC 322,0.52647656
AFST 300,POSC 333,0.49038216
AFST 300,POSC 348,0.52698404
AFST 300,PSYC 110,0.35984406
AFST 300,PSYC 200,0.054220937
AFST 300,PSYC 201,-0.18287815
AFST 300,PSYC 216,0.13265406
AFST 300,PSYC 217,-0.023611069
AFST 300,PSYC 220,0.27521288
AFST 300,PSYC 256,0.12951322
AFST 300,PSYC 257,0.024788203
AFST 300,PSYC 354,-0.0008071194
AFST 300,PSYC 382,0.567055
AFST 300,PSYC 389,0.28743425
AFST 300,RELG 110,0.6899233
AFST 300,RELG 121,0.45780385
AFST 300,RELG 155,0.532727
AFST 300,RELG 213,0.7622533
AFST 300,RELG 221,0.7663625
AFST 300,RELG 261,0.69467616
AFST 300,RELG 265,0.7934449
AFST 300,RELG 344,0.36793253
AFST 300,RUSS 103,-0.22261682
AFST 300,RUSS 110,0.06917068
AFST 300,RUSS 207,0.2787927
AFST 300,RUSS 209,0.19599152
AFST 300,RUSS 228,0.35551816
AFST 300,RUSS 228F,0.22627304
AFST 300,RUSS 266,0.54709643
AFST 300,RUSS 267,0.54111934
AFST 300,RUSS 307,0.12068426
AFST 300,RUSS 309,0.19286375
AFST 300,SOAN 110,0.47947586
AFST 300,SOAN 111,0.1753964
AFST 300,SOAN 214,0.42733777
AFST 300,SOAN 228,0.36195752
AFST 300,SOAN 240,0.35559508
AFST 300,SOAN 262,0.2405488
AFST 300,SOAN 312,0.23761573
AFST 300,SOAN 313,0.30150318
AFST 300,SOAN 323,0.4865655
AFST 300,SPAN 103,0.050184216
AFST 300,SPAN 205,-0.041121867
AFST 300,SPAN 208,0.2558727
AFST 300,SPAN 220,0.4597758
AFST 300,SPAN 263,0.32521757
AFST 300,SPAN 369,0.73073906
AFST 300,STAT 120,-0.11234413
AFST 300,STAT 220,0.1692546
AFST 300,STAT 230,-0.015191116
AFST 300,STAT 250,0.019741494
AFST 300,STAT 285,0.058431968
AFST 300,STAT 297,0.09303299
AFST 300,STAT 320,0.12735087
AFST 300,THEA 110,-0.0051454306
AFST 300,THEA 185,-0.0347488
AFST 300,THEA 190,-0.0134934485
AFST 300,THEA 199,0.11247788
AFST 300,THEA 226,0.43781734
AFST 300,THEA 245,0.1418041
AMST 115,AFST 289,0.63476926
AMST 115,AFST 300,0.48462126
AMST 115,AMST 115,1.0000001
AMST 115,AMST 269,0.6336247
AMST 115,AMST 321,0.43295577
AMST 115,AMST 396.00,0.28586975
AMST 115,ARBC 103,0.27351737
AMST 115,ARBC 206,0.22585613
AMST 115,ARBC 222,0.16309875
AMST 115,ARBC 223,-0.1461594
AMST 115,ARBC 371,0.19356602
AMST 115,ARCN 112,0.6392902
AMST 115,ARCN 222,0.5104169
AMST 115,ARTH 214,0.5707397
AMST 115,ARTH 298,0.06894852
AMST 115,ARTS 113,0.21297468
AMST 115,ARTS 122,0.2870682
AMST 115,ARTS 139,0.15604685
AMST 115,ARTS 230,0.08179955
AMST 115,ARTS 252,0.22406693
AMST 115,ARTS 262,0.35778582
AMST 115,ARTS 298,-0.25854892
AMST 115,ARTS 322,0.019506551
AMST 115,ARTS 339,0.14958122
AMST 115,ARTS 374,0.11970224
AMST 115,ASLN 111,0.240043
AMST 115,ASST 110,0.18470258
AMST 115,ASST 285,0.5995843
AMST 115,ASTR 113,0.25095794
AMST 115,ASTR 233,0.49132162
AMST 115,BIOC 311,0.06977223
AMST 115,BIOC 331,0.03870725
AMST 115,BIOL 125,0.21749184
AMST 115,BIOL 126,0.21820669
AMST 115,BIOL 240,0.33375588
AMST 115,BIOL 241,0.22766545
AMST 115,BIOL 352,0.22597799
AMST 115,BIOL 353,0.44232985
AMST 115,BIOL 370,0.25410435
AMST 115,BIOL 378,0.4106696
AMST 115,CAMS 110,0.30363658
