Course Title,Similar Course,Similarity Score
MUSC 158,MUSC 151J,0.91
MUSC 158,MUSC 152,0.91
MUSC 158J,MUSC 158J,1.00
MUSC 158J,MUSC 151J,0.91
MUSC 158J,MUSC 152,0.91
MUSC 159,MUSC 152,1.00
MUSC 159,MUSC 152J,1.00
MUSC 159,MUSC 153J,1.00
MUSC 159J,MUSC 152,1.00
MUSC 159J,MUSC 152J,1.00
MUSC 159J,MUSC 153J,1.00
MUSC 160.01,MUSC 152,1.00
MUSC 160.01,MUSC 152J,1.00
MUSC 160.01,MUSC 153J,1.00
MUSC 160.02,MUSC 152,1.00
MUSC 160.02,MUSC 152J,1.00
MUSC 160.02,MUSC 153J,1.00
MUSC 160J.01,MUSC 152,1.00
MUSC 160J.01,MUSC 152J,1.00
MUSC 160J.01,MUSC 153J,1.00
MUSC 160J.02,MUSC 152,1.00
MUSC 160J.02,MUSC 152J,1.00
MUSC 160J.02,MUSC 153J,1.00
MUSC 161,MUSC 152,1.00
MUSC 161,MUSC 152J,1.00
MUSC 161,MUSC 153J,1.00
MUSC 161J,MUSC 152,1.00
MUSC 161J,MUSC 152J,1.00
MUSC 161J,MUSC 153J,1.00
MUSC 162,MUSC 152,1.00
MUSC 162,MUSC 152J,1.00
MUSC 162,MUSC 153J,1.00
MUSC 162J,MUSC 152,1.00
MUSC 162J,MUSC 152J,1.00
MUSC 162J,MUSC 153J,1.00
MUSC 163,MUSC 152,1.00
MUSC 163,MUSC 152J,1.00
MUSC 163,MUSC 153J,1.00
MUSC 163J,MUSC 152,1.00
MUSC 163J,MUSC 152J,1.00
MUSC 163J,MUSC 153J,1.00
MUSC 164,MUSC 152,1.00
MUSC 164,MUSC 152J,1.00
MUSC 164,MUSC 153J,1.00
MUSC 164J,MUSC 152,1.00
MUSC 164J,MUSC 152J,1.00
MUSC 164J,MUSC 153J,1.00
MUSC 165,MUSC 152,1.00
MUSC 165,MUSC 152J,1.00
MUSC 165,MUSC 153J,1.00
MUSC 165J,MUSC 152,1.00
MUSC 165J,MUSC 152J,1.00
MUSC 165J,MUSC 153J,1.00
MUSC 166.01,MUSC 152,1.00
MUSC 166.01,MUSC 152J,1.00
MUSC 166.01,MUSC 153J,1.00
MUSC 166.02,MUSC 152,1.00
MUSC 166.02,MUSC 152J,1.00
MUSC 166.02,MUSC 153J,1.00
MUSC 166J.01,MUSC 166J.02,1.00
MUSC 166J.01,MUSC 176,0.41
MUSC 166J.01,MUSC 176J,0.41
MUSC 166J.02,MUSC 166J.02,1.00
MUSC 166J.02,MUSC 176,0.41
MUSC 166J.02,MUSC 176J,0.41
MUSC 167,MUSC 167J,1.00
MUSC 167,MUSC 151J,0.55
MUSC 167,MUSC 152,0.55
MUSC 167J,MUSC 167J,1.00
MUSC 167J,MUSC 151J,0.55
MUSC 167J,MUSC 152,0.55
MUSC 168,MUSC 152,1.00
MUSC 168,MUSC 152J,1.00
MUSC 168,MUSC 153J,1.00
MUSC 168J,MUSC 152,1.00
MUSC 168J,MUSC 152J,1.00
MUSC 168J,MUSC 153J,1.00
MUSC 169,MUSC 169J,1.00
MUSC 169,MUSC 269,0.90
MUSC 169,MUSC 269J,0.90
MUSC 169J,MUSC 169J,1.00
MUSC 169J,MUSC 269,0.90
MUSC 169J,MUSC 269J,0.90
MUSC 170,MUSC 170J,1.00
MUSC 170,MUSC 270,0.78
MUSC 170,MUSC 270J,0.78
MUSC 170J,MUSC 170J,1.00
MUSC 170J,MUSC 270,0.78
MUSC 170J,MUSC 270J,0.78
MUSC 171,MUSC 171J,1.00
MUSC 171,MUSC 266J.01,1.00
MUSC 171,MUSC 266J.02,1.00
MUSC 171J,MUSC 171J,1.00
MUSC 171J,MUSC 266J.01,1.00
MUSC 171J,MUSC 266J.02,1.00
MUSC 172,MUSC 172J,1.00
MUSC 172,MUSC 271J,0.96
MUSC 172,MUSC 272,0.96
MUSC 172J,MUSC 172J,1.00
MUSC 172J,MUSC 271J,0.96
MUSC 172J,MUSC 272,0.96
MUSC 174,MUSC 174J,1.00
MUSC 174,MUSC 272J,1.00
MUSC 174,MUSC 274,1.00
MUSC 174J,MUSC 174J,1.00
MUSC 174J,MUSC 272J,1.00
MUSC 174J,MUSC 274,1.00
MUSC 175,MUSC 275J,1.00
MUSC 175,MUSC 175,1.00
MUSC 175,MUSC 175J,1.00
MUSC 175J,MUSC 275J,1.00
MUSC 175J,MUSC 175,1.00
MUSC 175J,MUSC 175J,1.00
MUSC 176,MUSC 276J,1.00
MUSC 176,MUSC 176,1.00
